[10-Feb-2021 10:09:14 America/Mexico_City] PHP Notice:  Undefined variable: error in /home/prddigepo/hojas_municipales/db/conexionPDO.php on line 9
[10-Feb-2021 10:09:14 America/Mexico_City] PHP Notice:  Undefined variable: error in /home/prddigepo/hojas_municipales/db/conexionPDO.php on line 9
[10-Feb-2021 10:12:49 America/Mexico_City] PHP Notice:  Undefined variable: error in /home/prddigepo/hojas_municipales/db/conexionPDO.php on line 9
[10-Feb-2021 10:12:59 America/Mexico_City] PHP Notice:  Undefined variable: error in /home/prddigepo/hojas_municipales/db/conexionPDO.php on line 9
[10-Feb-2021 10:14:46 America/Mexico_City] PHP Notice:  Undefined variable: error in /home/prddigepo/hojas_municipales/db/conexionPDO.php on line 9
[11-Feb-2022 13:53:37 America/Mexico_City] PHP Parse error:  syntax error, unexpected 'Engine' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home/prddigepo/municipios_visitados/api/flight/Flight.php on line 68
[11-Feb-2022 13:53:47 America/Mexico_City] PHP Parse error:  syntax error, unexpected 'Engine' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home/prddigepo/municipios_visitados/api/flight/Flight.php on line 68
[11-Feb-2022 13:53:55 America/Mexico_City] PHP Parse error:  syntax error, unexpected 'Engine' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home/prddigepo/municipios_visitados/api/flight/Flight.php on line 68
[11-Feb-2022 13:54:26 America/Mexico_City] PHP Parse error:  syntax error, unexpected 'Engine' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home/prddigepo/municipios_visitados/api/flight/Flight.php on line 68
[11-Feb-2022 13:54:27 America/Mexico_City] PHP Parse error:  syntax error, unexpected 'Engine' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home/prddigepo/municipios_visitados/api/flight/Flight.php on line 68
